# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097587422180653e+09,6.254997079407448182e+05,5.041746956483456306e+06,2.675000000000000000e+01
1.536097587471387386e+09,6.254996987760837656e+05,5.041746997977984138e+06,2.665999984741210938e+01
1.536097587521958590e+09,6.254996917108163470e+05,5.041747012655405328e+06,2.664999961853027344e+01
1.536097587568228960e+09,6.254996810235100565e+05,5.041747032632158138e+06,2.665999984741210938e+01
1.536097587617131472e+09,6.254996701245033182e+05,5.041747056679849513e+06,2.665999984741210938e+01
1.536097587664889336e+09,6.254996577385084238e+05,5.041747089959549718e+06,2.667000007629394531e+01
1.536097587712826967e+09,6.254996508631656179e+05,5.041747108160243370e+06,2.665999984741210938e+01
1.536097587762152195e+09,6.254996526378174312e+05,5.041747117087060586e+06,2.668000030517578125e+01
1.536097587810573339e+09,6.254996460635784315e+05,5.041747133256190456e+06,2.669000053405761719e+01
1.536097587859676600e+09,6.254996405686725629e+05,5.041747160561044700e+06,2.669000053405761719e+01
1.536097587908608913e+09,6.254996368692704709e+05,5.041747176232009195e+06,2.670000076293945312e+01
1.536097587957161188e+09,6.254996250845622271e+05,5.041747192482090555e+06,2.669000053405761719e+01
1.536097588003433228e+09,6.254996112949730596e+05,5.041747204802099615e+06,2.670000076293945312e+01
1.536097588046481133e+09,6.254996017560304608e+05,5.041747212946772575e+06,2.665999984741210938e+01
1.536097588131938696e+09,6.254995939880348742e+05,5.041747230203420855e+06,2.663999938964843750e+01
1.536097588179699659e+09,6.254995892760058632e+05,5.041747231405758299e+06,2.664999961853027344e+01
1.536097588228705406e+09,6.254995788263421273e+05,5.041747246015440673e+06,2.664999961853027344e+01
1.536097588277217627e+09,6.254995732239485951e+05,5.041747330741109326e+06,2.661000061035156250e+01
1.536097588325391054e+09,6.254995606915792450e+05,5.041747345309105702e+06,2.660000038146972656e+01
1.536097588374744654e+09,6.254995468505680328e+05,5.041747366704621352e+06,2.660000038146972656e+01
1.536097588422978401e+09,6.254994925292443950e+05,5.041747523808399215e+06,2.668000030517578125e+01
1.536097588471239805e+09,6.254994821513774805e+05,5.041747554349760525e+06,2.662999916076660156e+01
1.536097588520494938e+09,6.254994692359137116e+05,5.041747568539620377e+06,2.662000083923339844e+01
